Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Treadmill Running,9/26/19,Treadmill Running,8.59,620,1:07:30,169,184,4,167,173,7:52,6:29,0,0,1.23,0,0,0,0,0,0:00,0:00,78.8,0:00,No,04:28.5,9.00,0
Treadmill Running,9/27/19,Treadmill Running,4.32,278,0:33:01,157,172,3,169,174,7:38,7:22,0,0,1.25,0,0,0,0,0,0:00,0:00,77,0:00,No,02:29.2,5.00,0
Running,9/28/19,Chicago Running,8.07,567,1:08:19,156,172,2.9,176,185,8:28,7:19,72,161,1.08,0,0,0,0,0,0:00,0:00,60.8,0:00,No,00:33.4,9.00,0
Running,9/28/19,Chicago Running,1.07,81,09:12.2,153,167,1.9,171,181,8:36,7:27,7,20,1.09,0,0,0,0,0,0:00,0:00,62.6,0:00,No,00:34.0,2.00,0
Treadmill Running,9/28/19,Treadmill Running,3.23,225,0:25:33,153,165,2.6,169,174,7:54,7:30,0,0,1.2,0,0,0,0,0,0:00,0:00,77,0:00,No,01:52.3,4.00,0
Treadmill Running,9/30/19,Treadmill Running,6.05,433,0:47:36,159,171,3.1,168,174,7:52,7:20,0,0,1.22,0,0,0,0,0,0:00,0:00,77,0:00,No,00:29.8,7.00,0
Treadmill Running,10/1/19,Treadmill Running,5.56,354,0:42:58,151,170,2.7,170,178,7:44,7:22,0,0,1.22,0,0,0,0,0,0:00,0:00,77,0:00,No,04:24.9,6.00,0
Treadmill Running,10/2/19,Treadmill Running,8.66,679,1:08:19,171,182,4.1,167,174,7:53,7:32,0,0,1.22,0,0,0,0,0,0:00,0:00,78.8,0:00,No,05:13.2,9.00,0
Treadmill Running,10/3/19,Treadmill Running,3.14,247,0:25:31,163,171,3,166,174,8:07,7:29,0,0,1.2,0,0,0,0,0,0:00,0:00,78.8,0:00,No,01:08.8,4.00,0
Running,10/5/19,Lake County Running,8.01,568,1:07:17,155,171,2.8,179,186,8:24,7:39,246,226,1.07,0,0,0,0,0,0:00,0:00,59,0:00,No,00:03.1,9.00,0
Running,10/7/19,Chicago Running,3.01,228,0:24:35,158,181,2.7,176,188,8:09,6:40,20,23,1.12,0,0,0,0,0,0:00,0:00,68,0:00,No,00:06.3,4.00,0
Treadmill Running,10/8/19,Treadmill Running,4.57,352,0:34:00,173,185,3.5,170,180,7:27,7:07,0,0,1.27,0,0,0,0,0,0:00,0:00,78.8,0:00,No,04:11.3,5.00,0
Treadmill Running,10/10/19,Treadmill Running,2.24,169,0:17:03,165,177,2.6,166,174,7:37,7:18,0,0,1.27,0,0,0,0,0,0:00,0:00,77,0:00,No,01:53.9,3.00,0
Running,10/12/19,Chicago Running,2.01,137,0:17:01,144,166,2,179,186,8:28,7:09,52,56,1.06,0,0,0,0,0,0:00,0:00,55.4,0:00,No,00:04.3,3.00,0
Running,10/13/19,Chicago Running,26.49,"2,091",3:47:34,176,194,4.9,177,201,8:35,6:11,463,466,1.06,0,0,0,0,0,0:00,0:00,50,0:00,No,04:23.6,27.00,0
Treadmill Running,10/15/19,Treadmill Running,2.00,145,0:17:57,147,166,2.2,159,182,8:58,7:18,0,0,1.13,0,0,0,0,0,0:00,0:00,78.8,0:00,No,08:36.7,2.00,0
Treadmill Running,10/16/19,Treadmill Running,0.26,20,04:09.7,113,125,0.1,117,127,16:09,13:11,0,0,0.85,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:00.0,1.00,0
Treadmill Running,10/20/19,Treadmill Running,2.20,163,0:17:57,157,184,2.5,164,224,8:10,6:57,0,0,1.2,0,0,0,0,0,0:00,0:00,78.8,0:00,No,02:04.3,3.00,0
Treadmill Running,10/24/19,Treadmill Running,2.72,225,0:24:04,162,187,2.9,157,242,8:51,5:53,0,0,1.16,0,0,0,0,0,0:00,0:00,78.8,0:00,No,06:29.2,3.00,0
Treadmill Running,10/27/19,Treadmill Running,1.14,57,0:16:45,100,109,0.2,120,126,14:45,13:34,0,0,0.91,0,0,0,0,0,0:00,0:00,75.2,0:00,No,01:53.6,2.00,0
Treadmill Running,10/29/19,Treadmill Running,1.44,120,0:14:09,154,181,2.2,147,170,9:49,7:03,0,0,1.11,0,0,0,0,0,0:00,0:00,78.8,0:00,No,05:26.8,2.00,0
Treadmill Running,10/30/19,Treadmill Running,3.05,218,0:26:03,150,185,2.6,158,172,8:32,7:12,0,0,1.19,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:25.4,4.00,0
